Mã sinh viên;H?;Tên sinh viên;L?p;Ði?m,
N23DCCN001;Nguy?n;Van A;D23CQCN01-N;7,5
N23DCCN002;Nguy?n;Van B;D23CQCN01-N;6,
N23DCCN003;Nguy?n;Van C;D23CQCN01-N;7,
N23DCCN004;Nguy?n;Van D;D23CQCN01-N;8,
N23DCCN005;Nguy?n;Van E;D23CQCN01-N;9,
,
N23DCCN007;Nguy?n;Van E;D23CQCN01-N;9,
N23DCCN008;Nguy?n;Van E;D23CQCN01-N;9,
N23DCCN009;Nguy?n;Van E;D23CQCN01-N;9,
N23DCCN010;Nguy?n;Van E;D23CQCN01-N;9,
N23DCCN011;Nguy?n;Van E;D23CQCN01-N;9,
N23DCCN012;Nguy?n;Van E;D23CQCN01-N;9,
N23DCCN013;Nguy?n;Van E;D23CQCN01-N;9,
